Is Benign(EOI)?,Number of DHT Markers,Number of DQT Markers,Total Number of Markers,Maximum size used in %,Max Marker Size for DHT(FFC4),Max Marker Size for DQT FFDB,Max Marker Size for APP1(FFE0),Max Marker Size for APP12(FFEF),Max Marker Size for COM(FFFE),Label
1,4,2,11,13.4,89,69,18,0,0,1
1,4,2,10,7.2,183,69,0,0,0,1
1,10,2,26,12,68,88,18,0,111,1
1,1,1,7,5.3,217,134,53,0,0,1
0,3,3,19,10.4,420,134,0,0,0,1
1,1,1,28,7.5,420,134,1463,0,0,1
0,0,0,2,1063.4,0,0,0,0,0,1
1,10,2,25,6,53,88,18,0,0,1
1,4,1,10,7.8,90,134,62,0,0,1
0,4,2,12,13.9,183,69,18,0,61,1
1,11,3,32,5.5,420,134,24047,0,0,1
1,3,3,23,0.1,420,134,0,0,0,1
1,4,2,11,15.7,72,69,18,0,0,1
0,4,2,12,1.1,183,69,18,0,61,1
0,1,1,6,2.6,175,134,0,0,0,1
0,1,1,6,20.5,181,134,0,0,0,1
0,7,1,355,2.1,69,134,480,42,16146,1
1,4,1,10,16.7,98,134,18,0,0,1
0,4,2,11,5.2,183,69,116,0,0,1
0,4,2,12,11.4,183,69,18,0,61,1
0,3,3,40,3.7,420,134,894,0,0,1
1,4,1,10,9.6,80,134,146,0,0,1
0,3,3,32,7.6,420,134,842,0,0,1
1,4,2,12,15.8,183,69,18,0,61,1
0,1,1,6,8.8,203,134,0,0,0,1
1,3,3,27,0.5,420,134,0,0,0,1
1,1,1,7,8.6,0,153,134,216,0,1
1,2,2,15,15.7,420,134,470,0,33,1
1,6,1,16,6.5,53,153,18,0,0,1
1,1,1,7,3.8,0,180,134,216,0,1
0,4,2,12,5.1,183,69,18,0,61,1
1,10,2,25,5.9,49,88,18,0,0,1
1,4,2,12,5.2,0,183,69,3022,0,1
0,4,2,12,1,183,69,18,0,61,1
0,5,2,60,22.4,183,69,18,0,0,1
1,6,4,26,10.5,321,134,0,0,0,1
1,4,2,11,5.4,183,69,18,0,0,1
0,1,1,6,8,203,134,0,0,0,1
1,1,1,6,9.3,293,134,0,0,0,1
0,3,3,38,4.9,420,134,894,0,0,1
0,4,2,12,5.4,183,69,18,0,61,1
1,1,1,6,5.7,0,200,134,0,0,1
0,16,5,672,1.6,3240,5252,5404,2106,3254,1
1,3,3,44,2.9,420,134,0,0,0,1
